,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
305,CA,92011,,,,,,,,,,,11.0,21.0,,,,,,,,,,,32.0
306,CA,92014,13.0,,1.0,,1.0,,3.0,1.0,2.0,4.0,6.0,117.0,21.0,13.0,6.0,,,,,,,,188.0
307,CA,92019,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,41.0,4.0,1.0,,,,,,,,,56.0
308,CA,92020,1.0,1.0,,1.0,2.0,,,,,,2.0,32.0,,,,,,,,,,,39.0
309,CA,92021,4.0,,1.0,,1.0,,1.0,,,,1.0,50.0,2.0,1.0,1.0,,,,,,,,62.0
310,CA,92024,3.0,,,,,,,,,2.0,12.0,74.0,,3.0,1.0,,,,,,,,95.0
311,CA,92025,2.0,,,,,,,1.0,,1.0,4.0,16.0,,,,,,,,,,,24.0
312,CA,92026,4.0,1.0,,,,2.0,,1.0,2.0,,2.0,34.0,4.0,,,,,,,,,,50.0
313,CA,92027,4.0,,,,2.0,9.0,12.0,24.0,46.0,49.0,38.0,137.0,41.0,10.0,,,,,,,,,372.0
314,CA,92028,4.0,,,1.0,,3.0,2.0,,1.0,,12.0,60.0,,1.0,,,,,,,,,84.0
315,CA,92029,,,,,,,,,,,3.0,18.0,,,,,,,,,,,21.0
317,CA,92037,2.0,,1.0,,,1.0,,1.0,1.0,4.0,35.0,140.0,,,,,,,,,,,185.0
318,CA,92040,11.0,4.0,,1.0,1.0,,,2.0,2.0,3.0,2.0,63.0,26.0,10.0,3.0,,,,,,,,128.0
319,CA,92054,,,,1.0,,1.0,,,1.0,,2.0,333.0,17.0,3.0,2.0,,,,,,,,360.0
320,CA,92056,6.0,,2.0,1.0,1.0,,,3.0,4.0,2.0,12.0,29.0,,,,,,,,,,,60.0
321,CA,92057,2.0,,,,,,,,1.0,,7.0,91.0,2.0,,1.0,,,,,,,,104.0
322,CA,92058,,,,,,,,,3.0,2.0,2.0,294.0,9.0,1.0,,,,,,,,,311.0
323,CA,92061,,,,,,,,,,,,8.0,1.0,,,,,,,,,,9.0
324,CA,92064,28.0,7.0,10.0,7.0,10.0,7.0,6.0,4.0,6.0,5.0,7.0,136.0,16.0,6.0,2.0,,,,,,,,257.0
325,CA,92065,2.0,,,1.0,,2.0,2.0,,2.0,3.0,7.0,123.0,12.0,1.0,,,,,,,,,155.0
326,CA,92067,,,,,,,,,,,17.0,41.0,1.0,,,,,,,,,,59.0
327,CA,92069,5.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,35.0,,,,,,,,,,,48.0
328,CA,92071,,,,,,,,,,1.0,,60.0,2.0,1.0,,,,,,,,,64.0
329,CA,92075,1.0,,1.0,,,1.0,,,,,,33.0,,,,,,,,,,,36.0
330,CA,92078,1.0,,,,,,,1.0,,,2.0,33.0,5.0,1.0,,,,,,,,,43.0
331,CA,92081,,,,,,1.0,,,,,5.0,14.0,,,,,,,,,,,20.0
332,CA,92082,2.0,,1.0,1.0,,1.0,1.0,,,,1.0,33.0,3.0,3.0,,,1.0,,,,,,47.0
333,CA,92083,4.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,19.0,3.0,,,,,,,,,,34.0
334,CA,92084,1.0,,,,2.0,,,1.0,,1.0,5.0,42.0,2.0,,,,,,,,,,54.0
335,CA,92091,1.0,,1.0,,,,,1.0,1.0,,4.0,30.0,1.0,,1.0,,,,,,,,40.0
