,ZIP Code,growth_pol_23_24,policies_24,growth_pol_22_23,policies_23,growth_pol_21_22,policies_22,growth_pol_20_21,policies_21,policies_20,growth_exp_23_24,exposure_24,growth_exp_22_23,exposure_23,growth_exp_21_22,exposure_22,growth_exp_20_21,exposure_21,exposure_20
180,93634,0.139,131,-0.042,115,0.0,120,0.0,0,0,0.153,76295611,0.031,66187558,0.0,64204235,0.0,0,0
181,93640,5.364,70,0.375,11,-0.333,8,1.0,12,6,9.617,30788578,1.019,2899963,-0.325,1436607,0.648,2128495,1291323
182,93641,-0.125,56,0.185,64,0.149,54,0.424,47,33,-0.019,29273684,0.455,29841879,0.225,20506240,0.466,16733901,11411562
183,93646,0.077,14,-0.188,13,0.231,16,-0.071,13,14,0.298,4613258,-0.213,3555252,0.501,4517538,0.094,3010109,2750584
184,93648,0.0,3,0.0,0,0.0,0,-1.0,0,1,0.0,1225750,0.0,0,0.0,0,-1.0,0,341900
185,93650,6.0,21,-0.25,3,0.333,4,-0.5,3,6,9.376,5774142,-0.154,556503,0.349,657526,-0.548,487293,1078044
186,93651,0.242,149,0.5,120,0.0,80,0.311,80,61,0.393,118256481,0.487,84896745,0.066,57108567,0.369,53575993,39125958
187,93652,0.0,0,-1.0,0,0.0,1,0.0,1,1,0.0,0,-1.0,0,0.06,84788,0.05,79980,76200
188,93654,1.286,32,0.0,14,1.333,14,-0.25,6,8,1.137,22306212,0.251,10437870,0.986,8340311,0.201,4200176,3496995
189,93656,1.0,4,1.0,2,-0.5,1,1.0,2,1,2.691,2294568,2.287,621671,-0.657,189156,2.641,552007,151595
190,93657,0.521,73,0.371,48,0.296,35,0.227,27,22,0.533,61103327,0.757,39868595,0.64,22694808,0.659,13841588,8344903
191,93660,0.4,7,4.0,5,0.0,1,0.0,1,1,0.88,2049458,6.076,1090151,0.088,154072,0.072,141610,132099
192,93662,2.5,28,-0.273,8,4.5,11,0.0,2,2,1.911,9611546,0.299,3302355,5.032,2542663,0.071,421502,393501
193,93664,0.034,1352,0.041,1308,-0.048,1257,0.172,1321,1127,0.102,1365644157,0.125,1239380396,0.057,1101372930,0.292,1041585672,806049204
194,93667,0.019,264,0.308,259,0.238,198,0.356,160,118,0.069,164398447,0.327,153743263,0.426,115889930,0.442,81275636,56366776
