ZIP,Median_Income_ACSST5Y2017,Median_Income_ACSST5Y2018,Median_Income_ACSST5Y2019,Median_Income_ACSST5Y2020,Median_Income_ACSST5Y2021,Median_Income_ACSST5Y2022,Median_Income_ACSST5Y2023
95242,66626.0,68611,73083,75491,80726,96161,99709
95245,52829.0,49549,51830,70325,75700,80826,85387
95246,37917.0,40997,57689,72841,71094,90658,95667
95247,47235.0,49162,52661,56313,58619,73413,71983
95248,30903.0,28750,-,-,-,-,-
95249,37034.0,35745,39052,33138,33342,43815,46864
95251,54306.0,58547,62337,61316,110036,95074,101111
95252,68023.0,77188,79618,81289,76792,89660,85189
95254,98726.0,100795,103559,101745,105243,67614,72188
95255,33669.0,34444,35169,42083,60000,65139,68000
95257,50743.0,51193,54390,72014,76875,119167,-
95258,85047.0,88630,92545,94464,117614,115298,100682
95301,54434.0,57322,60958,60993,61856,66749,66669
95303,51364.0,58542,63173,115500,139750,148889,139688
95304,85035.0,88152,98088,92721,101069,103138,114359
95306,44805.0,45705,46176,39353,55313,61542,77724
95307,51918.0,54405,58827,61287,65316,71786,77101
95310,38320.0,37929,41111,34958,40069,55543,57639
95311,46333.0,44107,40945,40577,49279,49844,70469
95312,39167.0,62688,63077,66429,76563,87734,-
95313,45769.0,48063,52105,41071,53667,57955,72321
95315,49651.0,55795,59298,62533,67021,72813,67868
95316,69750.0,67012,70907,82275,93569,91600,96593
95317,36771.0,39464,53807,47109,49483,53555,57438
95318,86250.0,-,44821,45988,45833,52543,54430
95319,28861.0,31512,31966,34784,40724,48933,44904
95320,63873.0,68326,68492,64508,66420,76570,86612
95321,47781.0,52297,53563,55966,59664,66708,69679
95322,42358.0,53737,54820,60478,56888,59397,64104
95323,62125.0,65000,71667,75197,82130,85391,89188
95324,57870.0,62022,64167,70045,64802,71523,72309
95326,59515.0,74777,79386,75388,87806,97952,89268
95327,53389.0,52656,54046,43313,54199,59371,60506
95328,46164.0,54806,53112,46277,53007,51519,53013
95329,54247.0,60556,55407,57058,58333,71800,74924
95330,72398.0,81339,85092,89653,98811,107665,118461
95333,47383.0,48785,48993,53125,54500,62102,62045
