ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90065,3799,34204,3593,10087,833400.0,71773.0,36610651,48278,37797,0.0,10.576955190648484,3.7675225537820958,11.611608822259067,74535.40376577359,758.3299018186337,0.09506045453342858,0.9049395454665714
90066,4177,38888,4104,10320,1282100.0,85389.75,50906303,72254,42992,0.0,10.493421052631579,4.1729651162790695,15.014682675613876,112910.79752372422,704.5465026157722,0.095459620394492,0.904540379605508
90067,62,502,125,133,1344900.0,117175.5,12304883,8478,627,0.0,4.512,4.2406015037593985,11.47765531190394,115230.11491313613,1451.3898325076668,0.19936204146730463,0.8006379585326954
90068,3236,19527,3035,6047,1500800.0,87587.75,67398952,42191,22562,0.0,7.500164744645799,3.7643459566727304,17.134816227155053,131875.8981404367,1597.4722571164466,0.1345182164701711,0.865481783529829
90069,1617,9423,1653,2790,890100.0,93829.5,61007272,44465,11076,0.0,6.678765880217786,3.956989247311828,9.486355570476237,77743.18828319573,1372.0290565613404,0.14924160346695559,0.8507583965330444
90077,1579,9655,1608,3113,2000001.0,210992.75,85832061,16459,11263,0.0,6.986318407960199,3.60873755220045,9.47900342547315,163137.8199503681,5214.901330579015,0.14276835656574624,0.8572316434342537
90094,354,1759,300,499,1132000.0,159760.75,9995792,23015,2059,0.0,7.043333333333333,4.234468937875752,7.08559517904116,94479.51942605313,434.3164023462959,0.14570179698882954,0.8542982030111704
90201,3648,40337,3398,12576,440500.0,45491.0,19681602,54035,43735,2.125,12.94437904649794,3.4975349872773536,9.68323404629487,41071.227941602956,364.23803090589433,0.07769520978621242,0.9223047902137876
90210,3183,20296,3398,6267,2000001.0,149397.25,219900045,34687,23694,0.0,6.909652736904061,3.746449656933142,13.387133966656013,167864.68633450472,6339.552137688471,0.14341183421963366,0.8565881657803663
90211,648,4462,646,1304,2000001.0,88676.5,12879555,11231,5108,0.0,7.910216718266254,3.918711656441718,22.553900977147272,175550.32505165096,1146.786127682308,0.1264682850430697,0.8735317149569303
90212,584,4999,580,1344,2000001.0,91771.25,20121653,14941,5579,0.0,9.625862068965517,4.154017857142857,21.79332852064236,175023.3209114335,1346.7407134729938,0.10396128338411902,0.896038716615881
90220,4094,31345,3806,9512,394900.0,59419.5,24450768,41243,35151,2.125,9.311350499211771,3.7257148864592096,6.645966391504473,35924.89355306273,592.8464951628155,0.10827572473044864,0.8917242752695513
90221,3144,26648,2759,8325,412600.0,52858.0,19010197,34554,29407,2.125,10.798115259151867,3.5786186186186186,7.805819365091377,37938.95879335824,550.1590843317706,0.09382119903424355,0.9061788009657564
90222,2373,17355,2152,5427,420700.0,54131.75,12300753,23110,19507,2.125,9.16728624535316,3.6351575456053067,7.771779039103668,38599.24763878438,532.2697100822155,0.11031937253293689,0.8896806274670631
90230,1940,19662,1905,5233,849200.0,87626.75,28798215,44377,21567,0.0,11.339632545931758,4.12803363271546,9.691104599908133,74616.62592051244,648.9446109471122,0.08832939212686049,0.9116706078731395
90232,1253,12297,1211,3378,1219100.0,94169.75,15243525,22964,13508,0.0,11.189099917423617,4.01124925991711,12.945770802194973,106445.08083300671,663.8009493119665,0.08965057743559372,0.9103494225644063
90240,2393,20988,2260,5566,646900.0,86932.5,19905031,27134,23248,2.125,10.345575221238938,4.200682716492993,7.441405688321399,56880.89459302237,733.5826269624825,0.09721266345492086,0.9027873365450791
