,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
2125,95364,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2126,95365,52.425,-3.733333333333332,-11.199999999999996
2127,95366,52.7,-3.2666666666666657,-9.799999999999997
2128,95367,71.89999999999999,-3.6666666666666665,-11.0
2129,95368,71.89999999999999,-3.6666666666666665,-11.0
2130,95369,52.425,-3.733333333333332,-11.199999999999996
2131,95370,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2132,95372,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2133,95373,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2134,95374,52.425,-3.733333333333332,-11.199999999999996
2135,95375,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2136,95376,52.7,-3.2666666666666657,-9.799999999999997
2137,95377,52.7,-3.2666666666666657,-9.799999999999997
2138,95378,52.7,-3.2666666666666657,-9.799999999999997
2139,95379,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2140,95380,71.89999999999999,-3.6666666666666665,-11.0
2141,95381,71.89999999999999,-3.6666666666666665,-11.0
2142,95382,71.89999999999999,-3.6666666666666665,-11.0
2143,95383,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2144,95385,71.89999999999999,-3.6666666666666665,-11.0
2145,95386,71.89999999999999,-3.6666666666666665,-11.0
2146,95387,71.89999999999999,-3.6666666666666665,-11.0
2147,95388,52.425,-3.733333333333332,-11.199999999999996
2148,95389,87.60000000000001,-1.0,-3.0
2149,95391,52.7,-3.2666666666666657,-9.799999999999997
2150,95397,71.89999999999999,-3.6666666666666665,-11.0
2151,95401,73.15,-1.5,-4.5
2152,95402,73.15,-1.5,-4.5
2153,95403,73.15,-1.5,-4.5
2154,95404,73.15,-1.5,-4.5
2155,95405,73.15,-1.5,-4.5
2156,95406,73.15,-1.5,-4.5
2157,95407,73.15,-1.5,-4.5
2158,95409,73.15,-1.5,-4.5
2159,95410,81.125,-2.099999999999999,-6.299999999999997
2160,95412,73.15,-1.5,-4.5
2161,95415,81.125,-2.099999999999999,-6.299999999999997
2162,95416,73.15,-1.5,-4.5
2163,95417,81.125,-2.099999999999999,-6.299999999999997
2164,95418,81.125,-2.099999999999999,-6.299999999999997
2165,95419,73.15,-1.5,-4.5
2166,95420,81.125,-2.099999999999999,-6.299999999999997
2167,95421,73.15,-1.5,-4.5
2168,95422,75.7,-1.3666666666666647,-4.099999999999994
2169,95423,75.7,-1.3666666666666647,-4.099999999999994
2170,95424,75.7,-1.3666666666666647,-4.099999999999994
2171,95425,73.15,-1.5,-4.5
2172,95426,75.7,-1.3666666666666647,-4.099999999999994
2173,95427,81.125,-2.099999999999999,-6.299999999999997
2174,95428,81.125,-2.099999999999999,-6.299999999999997
2175,95429,81.125,-2.099999999999999,-6.299999999999997
2176,95430,73.15,-1.5,-4.5
2177,95431,73.15,-1.5,-4.5
2178,95432,81.125,-2.099999999999999,-6.299999999999997
2179,95433,73.15,-1.5,-4.5
2180,95435,75.7,-1.3666666666666647,-4.099999999999994
2181,95436,73.15,-1.5,-4.5
2182,95437,81.125,-2.099999999999999,-6.299999999999997
2183,95439,73.15,-1.5,-4.5
2184,95441,73.15,-1.5,-4.5
2185,95442,73.15,-1.5,-4.5
2186,95443,75.7,-1.3666666666666647,-4.099999999999994
2187,95444,73.15,-1.5,-4.5
2188,95445,81.125,-2.099999999999999,-6.299999999999997
2189,95446,73.15,-1.5,-4.5
2190,95448,73.15,-1.5,-4.5
2191,95449,81.125,-2.099999999999999,-6.299999999999997
